Papel,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
AAGR11,Indefinido,95.50,13583.48,,1.46,1.54 ,4.57 ,8.69 ,16.82 ,1.52 ,1.45 ,1.40 ,12.94 ,2.63 ,4.21 ,24.14 ,,,,0.00 ,0.00 ,0.00 ,0.00 ,0,58.91,0,,,
AAZQ11,Indefinido,7.74,242584.30,0.88,0.12,1.54 ,4.31 ,8.83 ,18.33 ,1.44 ,1.47 ,1.53 ,16.80 ,1.70 ,3.27 ,48.06 ,208430750.00,8.67,0.89,1.15 ,0.00 ,0.00 ,0.00 ,0,18.55,29438,,1.20  aa,10.00  aa
ABCP11,Shoppings,74.86,45458.13,0.69,0.65,0.88 ,2.10 ,4.98 ,9.75 ,0.70 ,0.83 ,0.81 ,8.66 ,-7.27 ,-6.46 ,26.20 ,503937967.28,107.01,0.70,0.47 ,16.54 ,17.09 ,25.42 ,1,26.22,14494,,0.10  aa,
AFHI11,Papéis,95.67,334813.70,1.01,1.01,1.07 ,3.26 ,6.70 ,13.46 ,1.09 ,1.12 ,1.12 ,11.22 ,1.39 ,2.48 ,28.13 ,428737034.49,94.11,1.02,1.07 ,-0.91 ,0.16 ,6.44 ,14,11.77,37813,,1.00  aa,
AGRX11,Indefinido,8.08,130206.78,0.76,0.12,1.47 ,4.42 ,9.09 ,15.91 ,1.47 ,1.52 ,1.33 ,15.01 ,-0.24 ,1.22 ,42.25 ,188986046.14,10.56,0.77,1.14 ,0.00 ,0.00 ,0.00 ,0,27.50,18636,,1.00  aa,10.00  aa
AIEC11,Lajes Corporativas,53.70,241999.22,0.68,0.34,0.63 ,2.00 ,4.14 ,10.95 ,0.67 ,0.69 ,0.91 ,9.48 ,2.71 ,3.36 ,40.61 ,381559773.98,79.08,0.68,0.43 ,-15.43 ,-15.07 ,-14.09 ,2,18.78,14822,,0.75  aa,20.00  aa
AJFI11,Shoppings,7.70,227635.70,0.64,0.05,0.57 ,1.74 ,4.24 ,10.48 ,0.58 ,0.71 ,0.87 ,9.44 ,1.16 ,1.74 ,28.35 ,384210693.68,,,,,,,13,13.34,12540,0.60  aa,0.10  aa,
ALMI11,Lajes Corporativas,590.00,13832.39,0.30,3.04,0.00 ,1.40 ,2.91 ,7.03 ,0.47 ,0.49 ,0.59 ,5.74 ,0.00 ,0.00 ,,234041778.41,2046.78,0.29,0.00 ,-0.05 ,-0.05 ,0.90 ,1,47.26,1925,,0.38  aa,
ALZC11,Papéis,7.65,58644.48,0.81,0.10,1.29 ,3.99 ,7.99 ,16.68 ,1.33 ,1.33 ,1.39 ,13.78 ,0.00 ,1.29 ,3.83 ,188386462.18,,,,,,,14,36.77,9479,,1.30  aa,20.00  aa
ALZM11,Fundo de Fundos,6.32,164.43,0.85,0.40,6.30 ,0.00 ,0.00 ,9.97 ,0.00 ,0.00 ,0.83 ,7.55 ,-1.25 ,4.97 ,4.65 ,113203496.22,7.46,0.85,1.07 ,-91.94 ,-91.85 ,-91.51 ,14,20.50,12195,,0.80  aa,20.00  aa
ALZR11,Misto,10.73,1064016.61,1.00,0.08,0.79 ,2.40 ,4.95 ,10.08 ,0.80 ,0.83 ,0.84 ,8.36 ,-0.28 ,0.51 ,26.50 ,1302910581.76,10.66,1.01,0.78 ,-90.03 ,-89.95 ,-89.14 ,19,11.22,170603,0.70  aa,0.25  aa,
